occ2,occ.code,occ.title,"Digital Score, 2002","Digital Score, 2016",ScoreChange,Education Requirement,Digital Skill level_2002,Digital Skill level_2016,high02,medium02,low02,high16,medium16,low16,tot_emp2002,tot_emp2010,tot_emp16,a_mean02,a_mean10,a_mean16,a_median02,a_median10,a_median16
25,25_1061,"Anthropology and Archeology Teachers, Postsecondary",36.04363777,60.14969276,24.10605499,Advanced Degree,3,2,0,1,0,1,0,0,4490,5850,5700,62910,80040,91940,59250,73600,81350
25,25_1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",36.04363777,61.56510226,25.52146449,Advanced Degree,3,2,0,1,0,1,0,0,6040,8980,9060,61180,76720,84590,55520,68020,73020
25,25_1063,"Economics Teachers, Postsecondary",36.04363777,63.13790962,27.09427185,Advanced Degree,3,2,0,1,0,1,0,0,11560,13020,13060,68370,92870,111520,63840,83370,95770
25,25_1065,"Political Science Teachers, Postsecondary",36.04363777,63.39391333,27.35027556,Advanced Degree,3,2,0,1,0,1,0,0,11910,15930,16720,62110,78620,94090,57230,70540,79210
25,25_1066,"Psychology Teachers, Postsecondary",36.04363777,57.76457764,21.72093987,Advanced Degree,2,2,0,1,0,0,1,0,25790,34350,37640,58680,74320,84440,53770,67330,73140
25,25_1067,"Sociology Teachers, Postsecondary",36.04363777,66.35824302,30.31460525,Advanced Degree,3,2,0,1,0,1,0,0,13580,17430,14580,56510,71830,81600,52220,64810,71840
25,25_1071,"Health Specialties Teachers, Postsecondary",37.03280399,52.30741849,15.2746145,Advanced Degree,2,2,0,1,0,0,1,0,85770,144780,186740,72820,103960,125430,60510,85270,99360
25,25_1072,"Nursing Instructors and Teachers, Postsecondary",31.42363322,57.4859678,26.06233458,Advanced Degree,2,1,0,0,1,0,1,0,36500,54050,56210,52970,66010,75030,50400,62390,69130
25,25_1121,"Art, Drama, and Music Teachers, Postsecondary",30.40112321,55.99535282,25.5942296,Advanced Degree,2,1,0,0,1,0,1,0,58130,86860,99020,52350,70850,81050,47560,62040,68650
25,25_1123,"English Language and Literature Teachers, Postsecondary",39.77942867,56.44593629,16.66650762,Advanced Degree,2,2,0,1,0,0,1,0,55150,69880,71270,51310,67920,76140,46750,60400,63730
25,25_1124,"Foreign Language and Literature Teachers, Postsecondary",39.77942867,55.77607978,15.99665111,Advanced Degree,2,2,0,1,0,0,1,0,19730,28100,28720,50410,66520,73750,46180,59080,63500
25,25_1125,"History Teachers, Postsecondary",36.04363777,55.82289653,19.77925876,Advanced Degree,2,2,0,1,0,0,1,0,17500,23240,21800,56200,70860,80880,51790,64880,71820
25,25_1191,Graduate Teaching Assistants,39.65790459,60.94920068,21.29129609,Bachelor Degree,3,2,0,1,0,1,0,0,128470,107790,135130,25420,34660,35810,23720,32750,34240
25,25_1194,"Vocational Education Teachers, Postsecondary",39.24095981,30.36645893,-8.874500884,Secondary or below,1,2,0,1,0,0,0,1,119350,120290,116430,42340,52790,55730,38920,48210,50660
25,25_2011,"Preschool Teachers, Except Special Education",21.93775216,29.27261857,7.334866407,Some College,1,1,0,0,1,0,0,1,367300,369380,385550,21730,29200,33300,19270,25700,28790
25,25_2012,"Kindergarten Teachers, Except Special Education",24.31219452,27.55556414,3.243369623,Bachelor Degree,1,1,0,0,1,0,0,1,162560,173330,151290,42040,51550,55460,39810,48800,52620
25,25_2021,"Elementary School Teachers, Except Special Education",45.31980879,58.09790375,12.77809496,Bachelor Degree,2,2,0,1,0,0,1,0,1443160,1485600,1392660,44080,54330,59020,41780,51660,55800
25,25_2022,"Middle School Teachers, Except Special and Career/Technical Education",29.92698211,60.17940431,30.25242221,Bachelor Degree,3,1,0,0,1,1,0,0,582620,655090,626310,44110,54880,59800,41820,51960,56720
25,25_2023,"Career/Technical Education Teachers, Middle School",29.92698211,65.21628132,35.28929921,Bachelor Degree,3,1,0,0,1,1,0,0,17730,14600,12730,44650,54160,60350,42590,51470,57560
25,25_2031,"Secondary School Teachers, Except Special and Career/Technical Education",29.92698211,59.84420229,29.91722018,Bachelor Degree,2,1,0,0,1,0,1,0,984600,1053140,1003250,46010,55990,61420,43950,53230,58030
25,25_2032,"Career/Technical Education Teachers, Secondary School",29.92698211,60.6929723,30.76599019,Bachelor Degree,3,1,0,0,1,1,0,0,106920,91690,80100,45850,56010,59480,44340,54310,57320
25,25_2052,"Special Education Teachers, Kindergarten and Elementary School",26.60251281,60.25882785,33.65631504,Bachelor Degree,3,1,0,0,1,1,0,0,184308.8256,197718.3317,190530,45510,55220,60090,42690,52250,57040
25,25_2053,"Special Education Teachers, Middle School",26.60251281,56.91430099,30.31178818,Bachelor Degree,2,1,0,0,1,0,1,0,89350,100510,90250,44150,56500,61910,41350,53440,58560
25,25_2054,"Special Education Teachers, Secondary School",26.60251281,60.54610022,33.94358741,Bachelor Degree,3,1,0,0,1,1,0,0,134870,141420,132490,47270,58080,64020,44130,54810,59700
25,25_3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,30.17781014,49.25597683,19.07816669,Advanced Degree,2,1,0,0,1,0,1,0,61440,68510,58810,41470,51080,55140,36400,46530,50650
25,25_3021,Self-Enrichment Education Teachers,30.17781014,36.62795178,6.450141643,Secondary or below,2,1,0,0,1,0,1,0,136780,160990,229840,32910,41210,43150,29320,36340,37330
25,25_4011,Archivists,29.36669057,65.3507844,35.98409384,Advanced Degree,3,1,0,0,1,1,0,0,4149.677419,2178.064516,5760,39750,49190,54570,35270,45200,50500
25,25_4012,Curators,31.3289603,53.82150031,22.49254001,Advanced Degree,2,1,0,0,1,0,1,0,8047.204301,4223.781362,11170,39750,53160,58910,35270,48450,53360
25,25_4013,Museum Technicians and Conservators,25.19563765,56.70966553,31.51402788,Advanced Degree,2,1,0,0,1,0,1,0,7903.11828,4148.154122,10970,39750,41940,44780,35270,37310,40040
25,25_4021,Librarians,52.00436149,65.91250745,13.90814596,Advanced Degree,3,2,0,1,0,1,0,0,156920,148240,129350,44430,56360,59870,43090,54500,57680
25,25_4031,Library Technicians,45.81275857,62.04950323,16.23674466,Bachelor Degree,3,2,0,1,0,1,0,0,111240,109240,93410,25280,31410,34780,24090,29860,32890
25,25_9011,Audio-Visual and Multimedia Collections Specialists,29.63184293,78.93546817,49.30362524,Bachelor Degree,3,1,0,0,1,1,0,0,9040,7740,10300,35370,45910,50130,32360,42710,47840
25,25_9021,Farm and Home Management Advisors,28.67862218,59.25808305,30.57946088,Advanced Degree,2,1,0,0,1,0,1,0,12760,10670,8620,41850,47640,52150,39430,45520,49490
25,25_9031,Instructional Coordinators,32.05749645,78.48629166,46.42879521,Advanced Degree,3,1,0,0,1,1,0,0,90350,128780,147330,49510,61270,65500,47350,58830,62460
25,25_9041,Teacher Assistants,16.32712644,41.84218351,25.51505707,Some College,2,1,0,0,1,0,1,0,1227220,1249380,1263820,19930,24880,27120,18660,23220,25410
27,27_1011,Art Directors,74.47739284,77.94255106,3.465158228,Bachelor Degree,3,3,1,0,0,1,0,0,23200,29700,36210,69790,94100,101170,61850,80630,89820
27,27_1021,Commercial and Industrial Designers,26.72225563,61.22570153,34.5034459,Bachelor Degree,3,1,0,0,1,1,0,0,35270,28670,31860,54160,61890,70880,52260,58230,67790
27,27_1023,Floral Designers,3.118206902,37.81082234,34.69261544,Secondary or below,2,1,0,0,1,0,1,0,66480,47850,43990,20600,25030,27610,19480,23610,25850
27,27_1024,Graphic Designers,70.5750613,69.54654344,-1.02851786,Bachelor Degree,3,3,1,0,0,1,0,0,141830,192240,210710,41380,48140,52290,36680,43500,47640
27,27_1025,Interior Designers,25.28648254,54.23431951,28.94783697,Bachelor Degree,2,1,0,0,1,0,1,0,40670,40120,53160,43770,52100,56220,39180,46280,49810
27,27_1026,Merchandise Displayers and Window Trimmers,6.581051085,44.2030786,37.62202752,Secondary or below,2,1,0,0,1,0,1,0,53350,64330,114690,25470,28480,30090,22550,25960,26700
